page_id,canonical,Adult Yearly Survival,Ash Content,Biogeographic realm,Body Temperature,"Body length, nose to tail",Females per Group,Male Female Body Mass Ratio,Male Tenure,Males per Group,Mating System,Reproductive Skew,Social System,Testes Mass,actual evapotranspiration rate in geographic range,age at eye opening,age at first birth,age at maturity,amino acid composition of milk,animal population density,basal metabolic rate,behavioral circadian rhythm,body length (VT),body mass,carbohydrate composition of milk,clutch/brood/litter size,conservation status,diet breadth,diet includes,dispersal age,eats,ecomorphological guild,ecoregion,extinction status,fatty acid composition of milk,first appearance,geographic distribution includes,geographic range (size of area),gestation period duration,growth rate,habitat breadth,habitat includes,habitat is,head to coccyx length,head-body length,height standing,hind tarsus length,home range,host of,human population density,human population density change,initial mortality rate,inter-birth interval,interacts with,introduced range includes,invasive in,known marine species,last appearance,latitude,life span,litters per year,locomotion,longitude,milk lipids,milk phospholipids,milk solids,mineral composition of milk,mineralized tissue,mortality rate doubling time,motility,native range includes,not invasive in,number of DNA Records In GGBN,number of fossil occurrences in the Paleobiology Database,number of public records in BOLD,number of records in BOLD,number of records in GBIF,number of references in BHL,number of sequences in GenBank,number of specimens in GGBN,nutrient composition of milk,onset of fertility,outer ear length,parasitized by,percent  of marine species currently described,percent synonyms among marine species,population group size,population trend,potential evapotranspiration rate in geographic range,precipitation in geographic range,prenatal development duration,preyed upon by,preys on,primary diet,protein composition of milk,records in BOLD?,records in GBIF?,references in BHL?,reproduction,sequences in GenBank?,sexual dimorphism,skeletal tissue composition,social group size,specimens in GGBN?,tail length,teat number,temperature in geographic range,testis location,total life span,total unknown marine species,trophic guild,trophic level,type specimen repository,undescribed marine species present in museum collections,undiscovered marine morphospecies,undiscovered species (molecular cryptic),water O2 saturation,water depth,water dissolved O2 concentration,water nitrate concentration,water phosphate concentration,water salinity,water silicate concentration,water temperature,weaning age,weight
4457139,Gregorymys riggsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Chattian Age,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,20.43,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457140,Gregorymys larsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Miocene Epoch,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,5.333,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457143,Mojavemys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,23.03,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,5.333,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457144,Mojavemys magnumarcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,15.97,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Serravallian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457145,Mojavemys alexandrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,15.97,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Serravallian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457146,Mojavemys wilsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Serravallian Age,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457147,Mojavemys galushai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,23.03,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,5.333,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457149,Mojavemys lophatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,15.97,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Serravallian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457150,Nerterogeomys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Pliocene Epoch,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Middle Pleistocene Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457152,Nerterogeomys persimilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Pliocene Epoch,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457153,Nerterogeomys smithi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Pliocene Epoch,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457155,Nerterogeomys anzensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Pliocene Epoch,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Middle Pleistocene Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457156,Nerterogeomys garbanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,4.9,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
31556293,Palaeoloxodon antiquus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial and/or ground dwelling only,,extinct,,Pleistocene Epoch,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Holocene Epoch,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457159,Parapliosaccomys oregonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Tortonian Age,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Zanclean Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457160,Parapliosaccomys transversus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,15.97,United States,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Serravallian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457161,Phelosaccomys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,20.43,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Tortonian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457164,Phelosaccomys shotwelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,13.6,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Tortonian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457165,Phelosaccomys neomexicanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,15.97,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
4457166,Pleurolicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fossorial,,extinct,,Oligocene Epoch,,,,,,terrestrial habitat,,,,,,,,,,,,,,,,Burdigalian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxylapatite,,,,,,,,,browser,,,,,,,,,,,,,,,
