page_id,canonical,Adult Yearly Survival,Ash Content,Biogeographic realm,Body Temperature,"Body length, nose to tail",Females per Group,Male Female Body Mass Ratio,Male Tenure,Males per Group,Mating System,Reproductive Skew,Social System,Testes Mass,actual evapotranspiration rate in geographic range,age at eye opening,age at first birth,age at maturity,amino acid composition of milk,animal population density,basal metabolic rate,behavioral circadian rhythm,body length (VT),body mass,carbohydrate composition of milk,clutch/brood/litter size,conservation status,diet breadth,diet includes,dispersal age,eats,ecomorphological guild,ecoregion,extinction status,fatty acid composition of milk,first appearance,geographic distribution includes,geographic range (size of area),gestation period duration,growth rate,habitat breadth,habitat includes,habitat is,head to coccyx length,head-body length,height standing,hind tarsus length,home range,host of,human population density,human population density change,initial mortality rate,inter-birth interval,interacts with,introduced range includes,invasive in,known marine species,last appearance,latitude,life span,litters per year,locomotion,longitude,milk lipids,milk phospholipids,milk solids,mineral composition of milk,mineralized tissue,mortality rate doubling time,motility,native range includes,not invasive in,number of DNA Records In GGBN,number of fossil occurrences in the Paleobiology Database,number of public records in BOLD,number of records in BOLD,number of records in GBIF,number of references in BHL,number of sequences in GenBank,number of specimens in GGBN,nutrient composition of milk,onset of fertility,outer ear length,parasitized by,percent  of marine species currently described,percent synonyms among marine species,population group size,population trend,potential evapotranspiration rate in geographic range,precipitation in geographic range,prenatal development duration,preyed upon by,preys on,primary diet,protein composition of milk,records in BOLD?,records in GBIF?,references in BHL?,reproduction,sequences in GenBank?,sexual dimorphism,skeletal tissue composition,social group size,specimens in GGBN?,tail length,teat number,temperature in geographic range,testis location,total life span,total unknown marine species,trophic guild,trophic level,type specimen repository,undescribed marine species present in museum collections,undiscovered marine morphospecies,undiscovered species (molecular cryptic),water O2 saturation,water depth,water dissolved O2 concentration,water nitrate concentration,water phosphate concentration,water salinity,water silicate concentration,water temperature,weaning age,weight
1180177,Wilfredomys oenax,,,the Neotropics,,,,,,,,,,,1059.88,,,,,,,nocturnal,,46.8,,,endangered,,,,,above ground dwelling,Atlantic Coast restingas,,,,Uruguay,348515420000.0,,,,forest,terrestrial habitat,,,,,,,5,,,,,,,,,-24.67,,,,-47.68,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,1170.5,120.33,,,,plants,,,,,,,,,,,,,1.6809,,,,,herbivore,,,,,,,,,,,,,,
7209490,Alouatta arctoidea,,,,,,,,,,,,,,,,,,,,,,,,,,least concern,,seed,,,,,,,,Venezuela,,,,,montane,terrestrial habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,plants,,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,
1180179,Xenomys nelsoni,,,the Neotropics,,,,,,,,,,,831.97,,,,,,,,,129.99,,,endangered,,vertebrates,,,above ground dwelling,Bahia mangroves,,,,North Pacific,28727890000.0,,,,tropical,terrestrial habitat,,,,,,,9,,,,,,,,,22.87,,,,-103.64,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,1619.83,79.07,,,,invertebrates,,,,,,,,,,,,,2.2262,,,,,omnivore,,,,,,,,,,,,,,
7209525,Alouatta discolor,,,,,,,,,,,,,,,,,,,,,,,,,,vulnerable,,seed,,,,,,,,,,,,,wet forest,terrestrial habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,,,,,,plants,,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,
43936523,Metaxytherium calvertense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extinct,,Chattian Age,South Pacific,,,,,marine habitat,,,,,,,,,,,,,,,,Tortonian Age,,,,,,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viviparous,,,hydroxylapatite,,,,,,,,,,herbivore,,,,,,,,,,,,,,
7209547,Alouatta ululata,,,,,,,,,,,,,,,,,,,,,,,,,,endangered,,seed,,,,,,,,,,,,,forest,terrestrial habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,,,,,,plants,,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,
328273,Pappogeomys bulleri,,,the Neotropics,,,,,,,,,,,818.29,,,,,,,,,150,,,,,,,,fossorial and/or ground dwelling only,Trans-Mexican Volcanic Belt pine-oak forests,extant,,,North Pacific,35746470000.0,,,,terrestrial habitat,,,,,,,,7,,,,45511395,,,,,21.86,,,,-103.15,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,,1567.62,79.39,,,,plants,,,,,,,,hydroxylapatite,,,,,2.0545999999999998,,,,browser,herbivore,,,,,,,,,,,,,,
328274,Cratogeomys fumosus,,,the Neotropics,,,,,,,,,,,877,,,,,,,,,150,,,least concern,,,,,fossorial and/or ground dwelling only,Jalisco dry forests,extant,,,Mexico,512650000.0,,,,terrestrial habitat,terrestrial habitat,,,,,,,89,,,,,,,,,19.35,,,,-103.65,,,,,,,actively mobile,,,,,,,,,,,,,,,,,,Stable,1562,97,,,,plants,,,,,,,,hydroxylapatite,,,,,2.08,,,,browser,herbivore,,,,,,,,,,,,,,
328276,Cratogeomys merriami,,,the Nearctic,,,,,,,,,,,955.42,,,,,,,,,419.99,,,least concern,,,,,fossorial and/or ground dwelling only,Tehuacán Valley matorral,,,,Mexico,17777060000.0,,,,,terrestrial habitat,,,,,,,81,,,,,,,,,19.9,,,,-97.05,,,,,,,,,,,,,,,,,,,,,,,,,Stable,1305.4,98.4,,,,plants,,,,,,,,,,,,,1.4951,,,,,herbivore,,,,,,,,,,,,,,
4457045,Cratogeomys planiceps,,,,,,,,,,,,,,,,,,,,,,,,,,least concern,,,,,,,,,,Mexico,,,,,forest,terrestrial habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,plants,,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,
